location,latitude,longitude
Argentina-Buenos_Aires,-34.603683,-58.381557
Argentina-CABA,-34.603683,-58.381557
Argentina-Cordoba,-31.434288,-64.186671
Argentina-Entre_Rios,-32.149572,-59.293818
Argentina-Santa_Fe,-31.649641,-60.704291
Argentina-Chaco,-26.102175,-60.605994
Argentina-Corrientes,-28.975468,-57.728796
Argentina-Formosa,-24.792719,-59.959011
Argentina-Misiones,-26.851519,-54.380401
Argentina-Catamarca,-27.747719,-67.459368
Argentina-Jujuy,-23.239327,-66.018909
Argentina-Salta,-24.822637,-65.417542
Argentina-Sgo_Del_Estero,-27.825475,-64.253751
Argentina-Tucuman,-26.876021,-65.207525
Argentina-La_Rioja,-29.454905,-66.902689
Argentina-San_Luis,-33.369073,-66.284490
Argentina-Mendoza,-32.964430,-68.788270
Argentina-San_Juan,-31.533599,-68.502751
Argentina-Chubut,-44.207410,-68.107446
Argentina-La_Pampa,-36.661369,-64.285888
Argentina-Rio_Negro,-40.004055,-66.635966
Argentina-Santa_Cruz,-49.476691,-70.059306
Argentina-Neuquen,-38.647766,-69.570620
Argentina-Tierra_del_Fuego,-54.195869,-67.537522

